subject,relation,object
岩浆铜镍硫化物矿床,形成机制,亲铜元素分异进入硫化物液滴
岩浆铜镍硫化物矿床,分为,Ni-Cu主型矿床
岩浆铜镍硫化物矿床,分为,PGE主型矿床
Ni-Cu主型矿床,硫化物含量,20%~90%
PGE主型矿床,硫化物含量,0.5%~5%
NC-1类矿床,关联岩浆类型,科马提岩
NC-1类矿床,构造背景,太古代裂谷环境
NC-1类矿床,构造背景,元古代AM边缘裂谷
NC-2类矿床,关联岩浆类型,溢流玄武岩
NC-2类矿床,典型实例,诺里尔斯克矿床
NC-2类矿床,典型实例,德卢斯矿床
NC-3类矿床,典型实例,贝辰加矿区
NC-3类矿床,构造背景,大陆边缘裂谷环境
NC-4类矿床,关联岩体类型,斜长岩-花岗岩-橄长岩杂岩体
NC-4类矿床,典型实例,沃尔斯贝矿床
NC-5类矿床,岩浆组合,苦橄质到拉斑质混杂岩浆
NC-5类矿床,典型实例,金川矿床
NC-6类矿床,成因机制,陨石撞击岩浆熔融
NC-6类矿床,典型实例,萨德伯里矿床
PGE-1类矿床,岩浆特征,U型岩浆（贫Al₂O₃、富Cr、SiO₂）
PGE-1类矿床,典型实例,布什维尔德杂岩体
PGE-2类矿床,岩浆特征,拉斑玄武岩为主
PGE-2类矿床,典型实例,芬兰矿床
PGE-3类矿床,岩浆特征,纯拉斑质岩浆
PGE-3类矿床,典型实例,德卢斯杂岩体
PGE-5类矿床,岩浆特征,碱性超镁铁质岩浆
PGE-5类矿床,典型实例,乌拉尔-阿拉斯加型矿床
诺里尔斯克矿床,金属组成,Ni-Cu
诺里尔斯克矿床,Pd/Ir比值,高
萨德伯里矿床,金属组成,Ni-Cu-PGE
萨德伯里矿床,成因机制,陨石撞击
金川矿床,构造背景,大陆边缘裂谷断层
布什维尔德杂岩体,含矿层位,梅林斯基层
布什维尔德杂岩体,含矿层位,UG-2铬铁矿层
科马提岩相关矿床,Pd/Ir比值,低（0.1-0.5）
溢流玄武岩相关矿床,Pd/Ir比值,高（0.5-5）
富PGE矿床,(Pt+Pd)/(Ni+Cu)比值,10-350
岩浆硫化物矿床,形成机制,硅酸盐岩浆演化
硅酸盐岩浆演化,产生,不混溶硫化物-氧化物液滴
不混溶硫化物-氧化物液滴,浓集形成,矿床
第八族过渡金属元素,分离进入,硫化物-氧化物液体
硫化物溶解度,受控制于,温度
硫化物溶解度,受控制于,FeO含量
硫化物溶解度,受控制于,氧逸度
元素分配,涉及,硫化物-氧化物液体与硅酸盐岩浆
R因子,影响,硫化物组成成分
N因子,影响,硫化物组成成分
Maclean (1969),研究,Fe-S-O体系
Shima等 (1975),支持,Maclean的硫溶解机制
Mathez (1976),分析,海底玄武岩硫含量
Buchanan等 (1983),发现,硫溶解度随温度变化
Wendlandt (1982),验证,SCSS与温度关系
硫溶解度,随压力增加,减少
Mavrogenes等 (1999),证实,SCSS的指数性减少
长英质化,导致,硫化物不混溶性
Irvine (1975),研究,铁镁质岩浆混合作用
Li和Naldrett (1993),建立,FeS溶解度函数
分离结晶作用,导致,硫化物分凝
单硫化物固溶体,分离结晶形成,富Ni-Cu液体
Pt和Pd,溶解度受控于,氧逸度
R因子模型,假设,岩浆-硫化物平衡
N因子模型,描述,硫化物质量与岩浆质量比
Fe-S-O体系,包含,磁黄铁矿+磁铁矿+液体
自然硫化物矿石,结晶温度范围,1160-1200°C
磁黄铁矿成分,决定,固态温度
Fe-Ni-S体系,高温相由,Kullerud等 (1969)研究
镍黄铁矿,形成于,865°C以下
Cu-Fe-S体系,以固溶体为主,斑铜矿+中间固溶体+磁黄铁矿
分离结晶作用,导致,富Cu-PGE-Au残余液体
Rh和Ir,分配系数,反映相容性
Au,分配系数,反映不相容性
硫的外部来源,包括,围岩硫同位素非幔源
诺里尔斯克矿床,硫源可能为,蒸发岩还原反应
热液作用,导致,硫从围岩释放
诺里尔斯克岩浆,与,Tunguskaya系蒸发岩反应
Grinenko (1985),提出,硫来源于酸性气体
科马提岩,形成于,太古代
科马提岩,形成于,元古代
科马提岩,含有,MgO
科马提岩,属于,火山岩序列
坎巴尔达矿床,属于,组1矿床
组1矿床,特征为,高品位镍
组1矿床,规模为,小规模
Perseverance矿床,属于,组1矿床
Perseverance矿床,特征为,大规模低品位镍
威卢纳-诺斯曼绿岩带,包含,坎巴尔达矿床
威卢纳-诺斯曼绿岩带,包含,基斯山矿床
苏必利尔环形带,包含,拉格伦矿区
苏必利尔环形带,包含,汤普森镍矿带
拉格伦矿区,位于,加拿大魁北克省
汤普森镍矿带,位于,加拿大马尼托巴湖
科马提岩,经历,热侵蚀作用
热侵蚀作用,导致,硫化物矿化
硫化物矿化,形成,铜镍矿床
硫化物矿化,关联,岩浆混染
坎巴尔达矿床,产出于,中堆积纯橄榄岩熔岩流底部
Perseverance矿床,产出于,补堆积橄榄岩透镜体
基斯山矿床,产出于,火山岩平原相
科马提岩,具有,鬣刺结构
鬣刺结构,发育于,稳定熔岩流环境
科马提岩岩浆,含有,橄榄石晶体
橄榄石晶体,形成,补堆积岩相
坎巴尔达矿床,含有,磁黄铁矿
坎巴尔达矿床,含有,镍黄铁矿
坎巴尔达矿床,Ni/Cu比值为,11.4-16.4
汤普森矿床,含有,外生成岩浆硫化物
外生成岩浆硫化物,特征为,高铬含量
Pipe I矿床,与,硫化物相铁质层相关
硫化物相铁质层,受,变质作用影响
苏必利尔克拉通,边缘为,汤普森镍矿带
哈得孙河造山运动,导致,叠层状褶皱
叠层状褶皱,影响,矿床分布
坎巴尔达穹窿,位于,威卢纳-诺斯曼绿岩带
Lunnon玄武岩,覆盖于,超镁铁质单元下部
Chukotat组,包含,科马提玄武岩
