subject,relation,object
岩浆铜镍硫化物矿床,形成原因,岩浆中亲铜元素分异进入硫化物液滴之后，硫化物液滴与镁铁质或超镁铁质岩浆分离、富集引起
岩浆硫化物矿床,成因专属性,与镁铁岩或超镁铁岩密切相关
岩浆硫化物矿床,分类,分为NC-I至NC-6六类
NC-I类矿床,相关岩浆,与科马提岩相关
NC-II类矿床,相关岩浆,发育在溢流玄武岩浆作用通道中
NC-III类矿床,相关岩浆,与铁质橄榄岩岩浆组合有联系
NC-IV类矿床,相关岩浆,与斜长岩-花岗岩-橄榄岩杂岩体相关
NC-V类矿床,成分,从苦橄质到拉斑质岩浆伴生的混杂矿床
NC-VI类矿床,特殊性,萨德伯里矿床，由陨石撞击产生岩浆熔融发育而成
岩浆硫化物矿床,成矿关键,硫化物不混溶、硫化物聚集、亲铜元素富集
岩浆硫化物矿床,硫化物溶解度影响因素,压力、温度、熔体中Fe+Ti含量、熔体的氧化状态、镁铁质与长英质比例
岩浆硫化物矿床,硫化物液体成分依赖因素,硅酸盐岩浆成分、元素分配份数值、硅酸盐岩浆与硫化物液体的比值
岩浆硫化物矿床,矿物学特征,固相温度下降到150°C以下时的初始形成矿物平衡作用结果
岩浆硫化物矿床,硫化物熔体分离结晶作用,对形成Cu-Ni矿床中富铂族元素有特殊贡献
岩浆硫化物矿床,外部硫来源,岩浆上升过程中溶解更多硫，需从围岩获得硫
太古代科马提岩矿床,特征,硫化物中Ni含量最高，Ni/Cu比值最高，Pd/Ir值最低
元古代科马提岩矿床,特征,化学特性介于太古代矿床和含镁较低的岩浆有关矿床之间
威卢纳-诺斯曼绿岩带,矿床类型,分为规模小品位高的矿床和规模大品位低的矿床
坎巴尔达地区,地质概况,位于东部金矿区，包含耶尔冈太古代地段的东半部分
坎巴尔达地区,矿床产状,产于中堆积纯橄榄岩熔岩流的底部
坎巴尔达地区,矿床类型,规模小、品位高的矿床
坎巴尔达地区,矿床控制因素,海槽构造控制
坎巴尔达地区,矿石类型,块状、网状、浸染状硫化物矿石
坎巴尔达地区,矿床侵位模型,硫化物不混溶流体形成，矿石起源于岩浆
拉格伦矿区,地质背景,位于史密斯角带内，与科马提岩侵入有关
拉格伦矿区,矿化特征,Ni-Cu矿化出现在超镁铁质熔岩内部
拉格伦矿区,矿化类型,外生岩浆硫化物和富镍沉积硫化物
拉格伦矿区,成因,岩浆硫化物与沉积硫化物相互作用
汤普森镍矿带,地质概况,形成于苏必利尔克拉通西北边缘的太古代基底片麻岩和早元古代盖层岩石的易变带
汤普森镍矿带,构造演化,经历了哈得孙河造山运动和后期的褶皱作用
汤普森镍矿带,矿床类型,低品位的Moak和铂锡铜合金矿床
汤普森镍矿带,矿石类型,岩浆硫化物和沉积硫化物的混合
诺里尔斯克地区,地质背景,位于西伯利亚地台西北角，受正逆断层和大断层带控制
诺里尔斯克地区,火山作用,二叠纪-三叠纪的火山作用与铜镍硫化物矿床密切相关
诺里尔斯克地区,矿床类型,Ni-Cu-PGE矿床
